Number	Label	"All Degree of N1 (638)"
531	530	21
532	531	21
533	532	95
534	533	9
535	534	14
536	535	7
537	536	77
538	537	18
539	538	26
540	539	54
541	540	17
542	541	11
543	542	11
544	543	51
545	544	68
546	545	46
547	546	66
548	547	41
549	548	35
550	549	83
551	550	39
552	551	54
553	552	59
554	553	53
555	554	41
556	555	57
557	556	32
558	557	62
559	558	36
560	559	67
561	560	51
562	561	44
563	562	44
564	563	52
565	564	65
566	565	46
567	566	56
568	567	25
569	568	37
570	569	48
571	570	47
572	571	30
573	572	37
574	573	27
575	574	36
576	575	30
577	576	47
578	577	52
579	578	43
580	579	49
581	580	84
582	581	36
583	582	28
584	583	16
585	584	22
586	585	30
587	586	15
588	587	24
589	588	27
590	589	24
591	590	91
592	591	47
593	592	13
594	593	29
595	594	35
596	595	22
597	596	48
598	597	53
599	598	69
600	599	65
601	600	62
602	601	49
603	602	77
604	603	50
605	604	74
606	605	65
607	606	50
608	607	68
609	608	45
610	609	41
611	610	60
612	611	70
613	612	76
614	613	42
615	614	94
616	615	53
617	616	47
618	617	35
619	618	45
620	619	72
621	620	72
622	621	136
623	622	140
624	623	115
625	624	45
626	625	54
627	626	24
628	627	34
629	628	101
630	629	143
631	630	129
632	631	69
633	632	35
634	633	43
635	634	28
636	635	41
637	636	19
638	637	46
