Number	Label	"Betweenness centrality in N12 (319)"
304	614	0.008705566
305	615	6.5666640E-4
306	616	0.001413722
307	617	0.001159839
308	619	0.009468585
309	620	0.004157656
310	621	0.019073526
311	622	0.009044549
312	624	0.001290923
313	627	0.003125774
314	630	0.015263742
315	631	0.004295576
316	632	0.002040724
317	635	5.4042241E-4
318	636	0.001024749
319	637	0.003346588
