Number	Label	"Betweenness centrality in N3 (319)"
304	611	0.005774325
305	616	0.002753410
306	617	9.8689391E-4
307	618	0.002376610
308	622	0.011146207
309	623	0.014114204
310	624	4.0041053E-4
311	625	0.001009326
312	626	0.003069291
313	627	0.003900638
314	628	0.003115395
315	629	0.014828799
316	633	0.004813400
317	634	0.002091723
318	636	0.001944108
319	637	0.003628216
